Fase,Partido,Equipo Local,Equipo Visitante,Escudo Local (URL),Escudo Visitante (URL),Fecha (Colombia),Hora (Colombia),Estadio
Dieciseisavos de Final,Germany vs Paraguay,Germany,Paraguay,https://r2.thesportsdb.com/images/media/team/badge/1xysi51726167152.png,https://r2.thesportsdb.com/images/media/team/badge/khgav41553419195.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,France vs Sweden,France,Sweden,https://r2.thesportsdb.com/images/media/team/badge/p3n0z51726166851.png,https://r2.thesportsdb.com/images/media/team/badge/h5adzg1591981772.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,South Africa vs Canada,South Africa,Canada,https://r2.thesportsdb.com/images/media/team/badge/xjz9j91553368824.png,https://r2.thesportsdb.com/images/media/team/badge/2t631f1595154867.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Netherlands vs Morocco,Netherlands,Morocco,https://r2.thesportsdb.com/images/media/team/badge/1p0hr41593787110.png,https://r2.thesportsdb.com/images/media/team/badge/hbmwkj1731791275.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Portugal vs Croatia,Portugal,Croatia,https://r2.thesportsdb.com/images/media/team/badge/swqvpy1455466083.png,https://r2.thesportsdb.com/images/media/team/badge/vvtsyu1455465317.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Spain vs Austria,Spain,Austria,https://r2.thesportsdb.com/images/media/team/badge/ncgqyr1726166942.png,https://r2.thesportsdb.com/images/media/team/badge/874p631628721400.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,USA vs Bosnia-Herzegovina,USA,Bosnia-Herzegovina,https://r2.thesportsdb.com/images/media/team/badge/21f0oi1597948195.png,https://r2.thesportsdb.com/images/media/team/badge/wtqqst1455463120.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Belgium vs Senegal,Belgium,Senegal,https://r2.thesportsdb.com/images/media/team/badge/8xlvxv1592062265.png,https://r2.thesportsdb.com/images/media/team/badge/wh8dya1526727459.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Brazil vs Japan,Brazil,Japan,https://r2.thesportsdb.com/images/media/team/badge/jl6dip1726167280.png,https://r2.thesportsdb.com/images/media/team/badge/ffsyxz1591989843.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Ivory Coast vs Norway,Ivory Coast,Norway,https://r2.thesportsdb.com/images/media/team/badge/rwxuuu1455465643.png,https://r2.thesportsdb.com/images/media/team/badge/gyfn811591973155.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Mexico vs Ecuador,Mexico,Ecuador,https://r2.thesportsdb.com/images/media/team/badge/3rmosi1748525208.png,https://r2.thesportsdb.com/images/media/team/badge/47wv2y1591989301.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,England vs DR Congo,England,DR Congo,https://r2.thesportsdb.com/images/media/team/badge/vf5ttc1726166739.png,https://r2.thesportsdb.com/images/media/team/badge/s85jjw1728749022.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Argentina vs Cape Verde,Argentina,Cape Verde,https://r2.thesportsdb.com/images/media/team/badge/3zplhu1726167477.png,https://r2.thesportsdb.com/images/media/team/badge/5jn0o71593280376.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Australia vs Egypt,Australia,Egypt,https://r2.thesportsdb.com/images/media/team/badge/lark6k1661780848.png,https://r2.thesportsdb.com/images/media/team/badge/uheyzo1742102234.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Switzerland vs Algeria,Switzerland,Algeria,https://r2.thesportsdb.com/images/media/team/badge/mb7yqe1717365808.png,https://r2.thesportsdb.com/images/media/team/badge/rrwpry1455460218.png,Por definir,Por definir,Por definir
Dieciseisavos de Final,Colombia vs Ghana,Colombia,Ghana,https://r2.thesportsdb.com/images/media/team/badge/4ymyku1691180081.png,https://r2.thesportsdb.com/images/media/team/badge/j589xw1751526124.png,Por definir,Por definir,Por definir
